species,tree,branch,date,parent,order,bearing,opp_length_cm,declination,length_cm,diameter_mm,root_dia,no_twigs,no_spurs,no_scars,stem_m,tot_stem_mO,tot_stem_m,twig_m,leaf_m,flower_m,length_ratio,diameter_ratio,mass_ratio
apple,1,1,36,0,1,,,,80,105,,1,0,2,5376.2,,107524,,,,NA,NA,NA
apple,1,2,36,1,2,,,,19,51,,0,0,4,218.4,,1310.4,0,,,0.238,0.486,0.041
apple,1,3,36,2,3,,,,17,15,,4,1,2,22.7,,22.7,45.7,,,0.895,0.294,0.104
apple,1,4,36,2,2,,,,20,46,,0,0,2,213.7,,1068.5,0,,,1.053,0.902,0.978
apple,1,5,36,3,3,,,,49,13,,6,1,8,46.9,,46.9,26.4,,,2.882,0.867,2.066
apple,1,6,36,4,2,,,,9,48,,0,0,0,89.4,,447,0,,,0.45,1.043,0.418
apple,1,7,36,6,3,,,,39,24,,4,4,9,124.9,,124.9,54.9,,,4.333,0.5,1.397
apple,1,8,36,6,2,,,,20,40,,0,1,5,161.1,,644.4,0.1,,,2.222,0.833,1.802
apple,1,9,36,8,3,,,,15,26,,3,0,4,53,,53,122.8,,,0.75,0.65,0.329
apple,1,10,36,8,3,,,,13,16,,1,1,1,16.8,,16.8,8.9,,,0.65,0.4,0.104
apple,1,11,36,8,2,,,,65,28,,6,3,13,277,,554,166.2,,,3.25,0.7,1.719
apple,1,12,36,11,3,,,,36,14,,7,3,2,37.1,,37.1,,,,0.554,0.5,0.134
apple,1,13,36,11,2,,,,36,21,,3,1,11,78.7,,78.7,,,,0.554,0.75,0.284
apple,1,14,36,1,2,,,,80,36,,13,2,17,478.7,,478.7,432.3,,,1,0.343,0.089
apple,1,15,36,1,2,,,,24,41,,0,0,2,183,,549,0,,,0.3,0.39,0.034
apple,1,16,36,15,3,,,,19,15,,3,1,5,21.7,,21.7,22.7,,,0.792,0.366,0.119
apple,1,17,36,15,2,,,,70,36,,11,3,22,429.1,,858.2,128.6,,,2.917,0.878,2.345
apple,1,18,36,17,3,,,,15,30,,0,0,3,51.4,,102.8,0,,,0.214,0.833,0.12
apple,1,19,36,18,4,,,,27.5,11,,2,0,5,21.4,,21.4,15.7,,,1.833,0.367,0.416
apple,1,20,36,18,3,,,,61.5,18,,6,0,14,105.4,,105.4,97,,,4.1,0.6,2.051
apple,1,21,36,1,2,,,,50.5,36,,0,0,4,316,,948,0,,,0.631,0.343,0.059
apple,1,22,36,21,3,,,,13,21,,2,3,3,27.5,,27.5,22.2,,,0.257,0.583,0.087
apple,1,23,36,21,2,,,,17,37,,1,0,7,114.1,,228.2,6.3,,,0.337,1.028,0.361
apple,1,24,36,23,3,,,,24,20,,3,2,4,45.6,,45.6,77.2,,,1.412,0.541,0.4
