"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Subtree)","D~V(Segment)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Subtree)"
"1","prediction","2 - 2/3","","","3/4 - 5/8","","1/4 - 3/8","","1/2 - 1/4","","","1/3 - 3/5","","2/3 - 2/5","","","","","","","","",""
"2","all-tree - X","0.69  ,         ,  0.849  ,  -63.8","0.54  ,         ,  0.718  ,  -55.79","1.25  ,         ,  0.613  ,  -4.26","-","0.71  ,         ,  0.971  ,  -60.63","-","0.4  ,         ,  0.984  ,  -103.02","0.27  ,         ,  0.842  ,  -62.68","0.23  ,         ,  0.772  ,  -60.87","0.53  ,         ,  0.691  ,  -9.69","-","0.53  ,         ,  0.921  ,  -65.06","0.37  ,         ,  0.8  ,  -56.96","0.33  ,         ,  0.833  ,  -68.37","0.81  ,         ,  0.823  ,  -23.04","0.27  ,         ,  0.846  ,  -63.21","0.23  ,         ,  0.773  ,  -61","0.54  ,         ,  0.71  ,  -11.17","-","2.47  ,         ,  0.975  ,  -48.78","-","1  ,         ,  0.987  ,  -64.23"
"3","       - X + X^2","2.83  ,  -0.53  ,  0.863  ,  -64.04","2.41  ,  -0.46  ,  0.732  ,  -54.97","5.06  ,  -0.94  ,  0.622  ,  -2.83","-","0.83  ,  -0.01  ,  0.971  ,  -58.66","-","0.41  ,  0  ,  0.984  ,  -101.02","1.29  ,  -0.08  ,  0.857  ,  -62.96","0.74  ,  -0.04  ,  0.777  ,  -59.39","0.15  ,  0.03  ,  0.692  ,  -7.72","-","1.6  ,  -0.1  ,  0.926  ,  -64.68","2.16  ,  -0.17  ,  0.826  ,  -58.35","0.84  ,  -0.05  ,  0.836  ,  -66.8","-2.77  ,  0.34  ,  0.846  ,  -24.34","0.79  ,  -0.06  ,  0.855  ,  -62.67","0.57  ,  -0.04  ,  0.779  ,  -59.58","-0.11  ,  0.08  ,  0.713  ,  -9.42","-","5.4  ,  -0.72  ,  0.977  ,  -49","-","1.88  ,  -0.07  ,  0.988  ,  -64.05"
"4","cherry - X","0.46  ,         ,  0.125  ,  -11.54","2.66  ,         ,  0.903  ,  -14.79","3.13  ,         ,  0.101  ,  8.92","-","1.2  ,         ,  0.879  ,  -6.51","-","0.18  ,         ,  0.657  ,  -18.75","0.15  ,         ,  0.253  ,  -12.33","0.59  ,         ,  0.886  ,  -13.96","1.49  ,         ,  0.458  ,  6.39","-","0.11  ,         ,  0.395  ,  -15.91","0.15  ,         ,  0.442  ,  -13.79","0.41  ,         ,  0.701  ,  -9.15","1.53  ,         ,  0.789  ,  1.67","0.22  ,         ,  0.603  ,  -15.49","0.53  ,         ,  0.719  ,  -9.46","1.74  ,         ,  0.62  ,  4.62","-","3.35  ,         ,  0.566  ,  -2.65","-","0.75  ,         ,  0.559  ,  -2.56"
"5","       - X + X^2","141.92  ,  -31.38  ,  0.971  ,  -26.56","69.09  ,  -14.73  ,  0.943  ,  -15.41","862.27  ,  -190.56  ,  0.636  ,  6.4","-","-23.2  ,  1.78  ,  0.882  ,  -4.64","-","19.08  ,  -1.38  ,  0.72  ,  -17.76","54.5  ,  -3.96  ,  0.566  ,  -13.05","39.32  ,  -2.82  ,  0.92  ,  -13.71","-76.66  ,  5.69  ,  0.47  ,  8.29","-","8.51  ,  -0.74  ,  0.879  ,  -21.96","3.51  ,  -0.3  ,  0.488  ,  -12.22","17.39  ,  -1.51  ,  0.954  ,  -16.54","-29.39  ,  2.74  ,  0.857  ,  1.72","4.65  ,  -0.48  ,  0.626  ,  -13.79","-0.2  ,  0.08  ,  0.719  ,  -7.46","-108.76  ,  12.02  ,  0.864  ,  1.49","-","322.15  ,  -70.71  ,  0.926  ,  -9.47","-","80.81  ,  -5.83  ,  0.616  ,  -1.25"
"6","apple - X","0.76  ,         ,  0.892  ,  -52.95","0.45  ,         ,  0.726  ,  -51.03","1.03  ,         ,  0.777  ,  -25.17","-","0.69  ,         ,  0.985  ,  -62.26","-","0.4  ,         ,  0.99  ,  -89.79","0.31  ,         ,  0.886  ,  -51.91","0.19  ,         ,  0.767  ,  -54.16","0.43  ,         ,  0.833  ,  -30.61","-","0.57  ,         ,  0.957  ,  -62.32","0.44  ,         ,  0.863  ,  -48.37","0.28  ,         ,  0.824  ,  -59.5","0.65  ,         ,  0.91  ,  -42.47","0.3  ,         ,  0.876  ,  -50.36","0.19  ,         ,  0.785  ,  -55.63","0.43  ,         ,  0.846  ,  -32.2","-","2.46  ,         ,  0.98  ,  -42.5","-","1  ,         ,  0.997  ,  -76.06"
"7","       - X + X^2","2.08  ,  -0.33  ,  0.897  ,  -51.85","4.56  ,  -1.02  ,  0.838  ,  -59","8.61  ,  -1.88  ,  0.857  ,  -31.57","-","2.03  ,  -0.11  ,  0.99  ,  -67.9","-","-0.01  ,  0.03  ,  0.991  ,  -90.45","0.74  ,  -0.03  ,  0.888  ,  -50.29","2.12  ,  -0.15  ,  0.872  ,  -63.51","3.46  ,  -0.24  ,  0.886  ,  -35.89","-","-1.16  ,  0.17  ,  0.966  ,  -64.82","0.22  ,  0.02  ,  0.863  ,  -46.4","3.08  ,  -0.27  ,  0.907  ,  -69.64","4.01  ,  -0.33  ,  0.935  ,  -46.67","0.51  ,  -0.02  ,  0.878  ,  -48.55","1.34  ,  -0.14  ,  0.877  ,  -64.22","2.1  ,  -0.21  ,  0.886  ,  -35.96","-","6.14  ,  -0.91  ,  0.984  ,  -44.95","-","1.6  ,  -0.05  ,  0.997  ,  -76.85"
"8","all-branch - X","0.07  ,         ,  0.006  ,  495.84","0.71  ,         ,  0.534  ,  -10.18","1.08  ,         ,  0.544  ,  649.26","0.59  ,         ,  0.919  ,  -831.76","0.71  ,         ,  0.969  ,  -1126.26","0.41  ,         ,  0.842  ,  -831.75","0.37  ,         ,  0.939  ,  -1606.4","0.19  ,         ,  0.22  ,  298.08","0.32  ,         ,  0.735  ,  -468.14","0.47  ,         ,  0.691  ,  331.26","0.55  ,         ,  0.587  ,  -50.65","0.49  ,         ,  0.858  ,  -922.43","0.45  ,         ,  0.492  ,  -50.65","0.47  ,         ,  0.848  ,  -920.81","0.71  ,         ,  0.835  ,  -178.82","0.2  ,         ,  0.225  ,  292.96","0.33  ,         ,  0.735  ,  -468.5","0.49  ,         ,  0.702  ,  303.04","1.91  ,         ,  0.798  ,  604.1","2.37  ,         ,  0.914  ,  151.78","0.93  ,         ,  0.962  ,  -756.7","0.94  ,         ,  0.978  ,  -951.48"
"9","       - X + X^2","0.9  ,  -0.29  ,  0.032  ,  476.65","0.58  ,  0.04  ,  0.535  ,  -9","-0.2  ,  0.45  ,  0.566  ,  609.61","0.77  ,  -0.02  ,  0.92  ,  -843.78","0.51  ,  0.02  ,  0.97  ,  -1167.56","0.23  ,  0.02  ,  0.844  ,  -843.77","0.31  ,  0.01  ,  0.939  ,  -1612.74","0.53  ,  -0.04  ,  0.234  ,  286.06","0.39  ,  -0.01  ,  0.735  ,  -468.54","-0.1  ,  0.06  ,  0.712  ,  275.48","0.14  ,  0.06  ,  0.591  ,  -55.4","0.5  ,  0  ,  0.858  ,  -920.43","0.86  ,  -0.06  ,  0.496  ,  -55.4","0.86  ,  -0.05  ,  0.857  ,  -968.4","-0.05  ,  0.1  ,  0.85  ,  -255.27","0.49  ,  -0.06  ,  0.25  ,  268.49","0.45  ,  -0.02  ,  0.74  ,  -482.63","0.22  ,  0.05  ,  0.714  ,  270.61","1.85  ,  0.02  ,  0.798  ,  606","1.46  ,  0.32  ,  0.918  ,  115","0.51  ,  0.05  ,  0.965  ,  -831.22","0.59  ,  0.04  ,  0.981  ,  -1063.65"
"10","cherry - X","0.06  ,         ,  0.005  ,  254.2","0.75  ,         ,  0.587  ,  23.6","1.17  ,         ,  0.599  ,  393.49","0.58  ,         ,  0.924  ,  -446.15","0.72  ,         ,  0.973  ,  -602.16","0.42  ,         ,  0.863  ,  -446.15","0.37  ,         ,  0.943  ,  -827.42","0.16  ,         ,  0.19  ,  163.82","0.33  ,         ,  0.773  ,  -239.01","0.5  ,         ,  0.739  ,  205.13","0.59  ,         ,  0.626  ,  -2.76","0.49  ,         ,  0.87  ,  -468.61","0.41  ,         ,  0.445  ,  -2.76","0.48  ,         ,  0.87  ,  -485.88","0.74  ,         ,  0.862  ,  -74.05","0.18  ,         ,  0.195  ,  161.09","0.35  ,         ,  0.781  ,  -254.52","0.54  ,         ,  0.757  ,  173.26","1.86  ,         ,  0.808  ,  341.71","2.35  ,         ,  0.909  ,  167.8","0.91  ,         ,  0.95  ,  -251.99","0.93  ,         ,  0.974  ,  -376.01"
