"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1","3 , 0.215 , 37","3 , 0.171 , 20","3 , 0.418 , 26","3 , 0.239 , 83","3 , 0.169 , 21","3 , 0.052 , 25","1 , 0.25 , 24","3 , 0.15 , 70","3 , 0.143 , 27","3 , 0.456 , 17","3 , 0.115 , 26","3 , 0.009 , 46","3 , 0.042 , 14","3 , 0.019 , 103","3 , 0.659 , 11","1 , 0.017 , 14","3 , 0.013 , 11","3 , 0.032 , 17","0 , 0.037 , 53","3 , 0.159 , 13","3 , 0.156 , 7","3 , 0.071 , 8","3 , 0.016 , 11","3 , 0.076 , 39","0 , 0.024 , 375","3 , 0.028 , 38","3 , 0.006 , 65","3 , 0.006 , 265","3 , 0.007 , 52","3 , 0.103 , 20","1 , 0.005 , 440","0 , 0.006 , 815","3 , 0.892 , 19","0 , 0.125 , 5","1 , 0.849 , 24"
"2","3 , 0.329 , 37","1 , 0.519 , 20","1 , 0.407 , 26","1 , 0.392 , 83","3 , 0.485 , 21","3 , 0.605 , 25","0 , 0.344 , 24","0 , 0.461 , 70","1 , 0.541 , 27","3 , 0.551 , 17","3 , 0.499 , 26","3 , 0.544 , 46","3 , 0.319 , 14","3 , 0.526 , 103","1 , 0.39 , 11","3 , 0.74 , 14","3 , 0.787 , 11","3 , 0.537 , 17","3 , 0.629 , 53","1 , 0.746 , 13","3 , 0.894 , 7","1 , 0.757 , 8","3 , 0.423 , 11","3 , 0.432 , 39","3 , 0.442 , 375","3 , 0.334 , 38","1 , 0.595 , 65","3 , 0.68 , 265","3 , 0.596 , 52","3 , 0.168 , 20","3 , 0.587 , 440","3 , 0.534 , 815","0 , 0.726 , 19","1 , 0.903 , 5","3 , 0.718 , 24"
"3","0 , 0.61 , 37","0 , 0.678 , 20","0 , 0.672 , 26","0 , 0.639 , 83","0 , 0.665 , 21","0 , 0.721 , 25","0 , 0.647 , 24","0 , 0.648 , 70","0 , 0.717 , 27","0 , 0.747 , 17","0 , 0.679 , 26","0 , 0.671 , 46","0 , 0.505 , 14","0 , 0.679 , 103","0 , 0.758 , 11","3 , 0.803 , 14","3 , 0.887 , 11","0 , 0.628 , 17","0 , 0.755 , 53","0 , 0.793 , 13","3 , 0.901 , 7","3 , 0.884 , 8","3 , 0.615 , 11","0 , 0.621 , 39","0 , 0.577 , 375","3 , 0.462 , 38","0 , 0.683 , 65","0 , 0.761 , 265","1 , 0.659 , 52","1 , 0.235 , 20","0 , 0.599 , 440","0 , 0.544 , 815","0 , 0.777 , 19","1 , 0.101 , 5","3 , 0.613 , 24"
"4","1 , 0.73 , 37","3 , 0.777 , 20","3 , 0.58 , 26","1 , 0.716 , 83","3 , 0.809 , 21","3 , 0.853 , 25","3 , 0.736 , 24","3 , 0.802 , 70","3 , 0.785 , 27","3 , 0.542 , 17","3 , 0.788 , 26","3 , 0.869 , 46","3 , 0.839 , 14","1 , 0.856 , 103","3 , 0.337 , 11","3 , 0.923 , 14","3 , 0.873 , 11","3 , 0.851 , 17","3 , 0.846 , 53","3 , 0.76 , 13","3 , 0.783 , 7","3 , 0.852 , 8","3 , 0.884 , 11","1 , 0.823 , 39","0 , 0.858 , 375","3 , 0.877 , 38","3 , 0.913 , 65","0 , 0.895 , 265","3 , 0.91 , 52","3 , 0.87 , 20","0 , 0.924 , 440","0 , 0.919 , 815","4","4","4"
"5","3 , 0.98 , 37","3 , 0.981 , 20","3 , 0.98 , 26","1 , 0.979 , 83","3 , 0.976 , 21","1 , 0.982 , 25","3 , 0.976 , 24","0 , 0.975 , 70","3 , 0.982 , 27","3 , 0.984 , 17","3 , 0.981 , 26","3 , 0.982 , 46","1 , 0.963 , 14","3 , 0.982 , 103","1 , 0.977 , 11","1 , 0.984 , 14","1 , 0.99 , 11","1 , 0.968 , 17","0 , 0.979 , 53","0 , 0.986 , 13","3 , 0.992 , 7","3 , 0.995 , 8","0 , 0.994 , 11","3 , 0.981 , 39","0 , 0.969 , 375","1 , 0.96 , 38","1 , 0.978 , 65","0 , 0.986 , 265","1 , 0.979 , 52","0 , 0.934 , 20","0 , 0.973 , 440","0 , 0.969 , 815","0 , 0.985 , 19","3 , 0.879 , 5","3 , 0.971 , 24"
"6","1 , 0.613 , 37","3 , 0.719 , 20","3 , 0.574 , 26","1 , 0.625 , 83","3 , 0.795 , 21","3 , 0.779 , 25","3 , 0.719 , 24","3 , 0.761 , 70","3 , 0.697 , 27","3 , 0.5 , 17","3 , 0.529 , 26","3 , 0.688 , 46","3 , 0.671 , 14","1 , 0.618 , 103","3 , 0.357 , 11","3 , 0.832 , 14","3 , 0.765 , 11","3 , 0.712 , 17","3 , 0.706 , 53","3 , 0.537 , 13","3 , 0.715 , 7","3 , 0.306 , 8","3 , 0.38 , 11","1 , 0.445 , 39","0 , 0.721 , 375","3 , 0.818 , 38","3 , 0.876 , 65","0 , 0.829 , 265","3 , 0.87 , 52","3 , 0.86 , 20","0 , 0.863 , 440","0 , 0.842 , 815","4","4","4"
"7","1 , 0.849 , 37","3 , 0.9 , 20","3 , 0.885 , 26","1 , 0.87 , 83","3 , 0.92 , 21","3 , 0.924 , 25","3 , 0.899 , 24","3 , 0.909 , 70","3 , 0.915 , 27","3 , 0.919 , 17","3 , 0.87 , 26","3 , 0.878 , 46","3 , 0.882 , 14","0 , 0.875 , 103","3 , 0.931 , 11","3 , 0.947 , 14","1 , 0.946 , 11","3 , 0.919 , 17","0 , 0.932 , 53","3 , 0.906 , 13","3 , 0.963 , 7","0 , 0.927 , 8","0 , 0.721 , 11","0 , 0.832 , 39","0 , 0.903 , 375","3 , 0.868 , 38","3 , 0.939 , 65","0 , 0.943 , 265","3 , 0.923 , 52","3 , 0.849 , 20","0 , 0.943 , 440","0 , 0.939 , 815","1 , 0.99 , 19","3 , 0.657 , 5","3 , 0.984 , 24"
"8","1 , 0.036 , 37","3 , 0.017 , 20","3 , 0 , 26","1 , 0.022 , 83","3 , 0.002 , 21","3 , 0.065 , 25","3 , 0.001 , 24","3 , 0.013 , 70","3 , 0.038 , 27","3 , 0.002 , 17","3 , 0.159 , 26","3 , 0.23 , 46","3 , 0.155 , 14","1 , 0.253 , 103","3 , 0 , 11","3 , 0.275 , 14","3 , 0.145 , 11","3 , 0.142 , 17","3 , 0.138 , 53","3 , 0.11 , 13","3 , 0.025 , 7","3 , 0.429 , 8","3 , 0.494 , 11","1 , 0.283 , 39","0 , 0.153 , 375","3 , 0.072 , 38","3 , 0.076 , 65","0 , 0.115 , 265","3 , 0.079 , 52","3 , 0.003 , 20","0 , 0.19 , 440","0 , 0.22 , 815","3 , 0.886 , 19","1 , 0.253 , 5","1 , 0.842 , 24"
"9","0 , 0.691 , 37","3 , 0.797 , 20","1 , 0.688 , 26","0 , 0.716 , 83","3 , 0.745 , 21","3 , 0.821 , 25","3 , 0.65 , 24","3 , 0.734 , 70","3 , 0.803 , 27","1 , 0.785 , 17","1 , 0.779 , 26","0 , 0.824 , 46","3 , 0.654 , 14","0 , 0.813 , 103","3 , 0.633 , 11","3 , 0.893 , 14","1 , 0.918 , 11","3 , 0.776 , 17","1 , 0.83 , 53","3 , 0.919 , 13","1 , 0.97 , 7","0 , 0.939 , 8","0 , 0.895 , 11","0 , 0.793 , 39","0 , 0.715 , 375","3 , 0.671 , 38","3 , 0.783 , 65","0 , 0.85 , 265","3 , 0.809 , 52","3 , 0.458 , 20","0 , 0.773 , 440","1 , 0.735 , 815","0 , 0.767 , 19","3 , 0.886 , 5","3 , 0.772 , 24"
"10","3 , 0.89 , 37","3 , 0.891 , 20","3 , 0.903 , 26","0 , 0.889 , 83","3 , 0.861 , 21","0 , 0.885 , 25","1 , 0.865 , 24","0 , 0.852 , 70","1 , 0.896 , 27","3 , 0.916 , 17","3 , 0.88 , 26","3 , 0.903 , 46","1 , 0.757 , 14","1 , 0.887 , 103","1 , 0.889 , 11","1 , 0.877 , 14","1 , 0.926 , 11","1 , 0.808 , 17","0 , 0.857 , 53","0 , 0.899 , 13","1 , 0.952 , 7","3 , 0.968 , 8","1 , 0.975 , 11","3 , 0.886 , 39","0 , 0.783 , 375","1 , 0.763 , 38","0 , 0.842 , 65","0 , 0.87 , 265","0 , 0.847 , 52","0 , 0.566 , 20","0 , 0.739 , 440","0 , 0.691 , 815","0 , 0.833 , 19","3 , 0.458 , 5","3 , 0.691 , 24"
