"","group","L~D (Segment)","(Path)","(Subtree)","SA~V (Segment)","(Path)","(Subtree)","D~V(Segment)","(Path)","(Subtree)","L~V (Segment)","(Path)","(Subtree)","D~SA (Segment)","(Path)","(Subtree)","L~SA (Segment)","(Path)","(Subtree)","L~M (Segment)","(Path)","(Subtree)","M~D (Segment)","(Subtree)","M~V(Segment)","(Path)","(Subtree)","D/P Ratio ~ P Diam"
"1","predictions","2/3 - 2","[elastic , flow]","[X = same]","5/8 - 3/4","","","3/8 - 1/4","","","1/4 - 1/2","","","3/5 - 1/3","","","2/5 - 2/3","","","1/4","","","8/3 - 2.53","","1","","","0 - 1"
"2","all-tree","X ,   ","X ,   ","   , X","-","-","   , X","-","-","   ,   ","   ,   ","X ,   ","   ,   ","-","-","X ,   ","X ,   ","X ,   ","   ,   ","X , X","X , X","   ,   ","-","X , X","-","-","X , X","-"
"3","cherry","X , X","   , X","   ,   ","-","-","   , X","-","-","X , X","X , X","   , X","   ,   ","-","-","   , X","X , X","X , X","   ,   ","X , X","   ,   ","   ,   ","-","X , X","-","-","X , X","-"
"4","apple","   ,   ","X ,   ","   ,   ","-","-","   ,   ","-","-","   ,   ","   ,   ","X ,   ","   , X","-","-","X ,   ","X ,   ","   ,   ","   , X","   ,   ","X , X","   ,   ","-","   , X","-","-","X , X","-"
"5","all-branch","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","X ,   "
"6","cherry","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   "
"7","cherry-1","X ,   ","X ,   ","   , X","X ,   ","X ,   ","   , X","   ,   ","   ,   ","X ,   ","X , X","   , X","   , X","   ,   ","X ,   ","X ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","X , X","   ,   ","X , X","X ,   "
"8","cherry-2","X ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","X ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X ,   ","X , X","   ,   ","X , X","X ,   "
"9","cherry-3","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","X ,   ","   ,   ","   ,   ","   ,   ","   ,   ","X ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   "
"10","cherry-3+","   ,   ","   ,   ","   ,   ","X ,   ","-","   ,   ","   ,   ","-","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","-","X ,   ","   , X","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","   ,   ","-","   ,   ","   ,   "
