node,attach,length_cm,diameter_mm,spur,broken,parent_dist
1,0,93,180,,,0
2,1,24.5,107,,,0
3,1,22.5,178,,,0
4,3,28,125,,,0
5,4,107,60.3,,,0
6,4,73,92,,,0
7,6,58,23.9,,,0
8,7,25,5.5,,,0
9,7,28,12,,,0
10,9,41,6.4,,,0
11,10,10,2.6,,,0
12,10,16,2,,,0
13,8,20,6.7,,,0
14,2,50,37,,,0
15,14,21.5,11.4,,,0
16,9,36,2.9,,,0
17,9,49,4.8,,,0
18,2,18,93,,,0
19,18,58,36.4,,,0
20,19,33,15.8,,,0
21,20,35,4.2,,,0
22,20,18,11.6,,,0
23,22,67,7.4,,,0
24,22,12,6,,,0
25,19,16.5,30.4,,,0
26,25,16.5,5.6,,,0
27,25,16,30.9,,,0
28,27,34,7.4,,,0
29,28,17,5.9,,,0
30,27,25,26.5,,,0
31,30,21,5.5,,,0
32,30,29,3.4,,,0
33,30,28.5,20.2,,,0
34,33,14,5.6,,,0
35,33,22,19.4,,,0
36,35,46.5,9,,,0
37,35,16,16.1,,,0
38,37,37,7.3,,,0
39,37,12,13.8,,,0
40,39,66,8.9,,,0
41,30,97,7.4,,,0
42,57,70,74.2,,,0
43,42,30,25.9,,,0
44,43,5,4.3,,,0
45,46,27,4.2,,,0
46,43,7,25.8,,,0
47,46,16,22.2,,,0
48,47,14.5,6.2,,,0
49,47,7.5,23.8,,,0
50,49,24,4.4,,,0
51,49,11.5,22.9,,,0
52,51,9,6,,,0
53,51,5,25.5,,,0
54,53,45,5.9,,,0
55,53,6.5,33.5,,,0
56,55,84,12.4,,,0
57,18,26,84.3,,,0
58,42,15,,,,0
59,58,15.5,4.6,,,0
60,58,12,,,,0
61,60,13,5.8,,,0
62,61,7,4.4,,,0
63,60,17,,,,0
64,63,43.5,6.5,,,0
65,63,7,,,,0
66,65,15,,,,0
67,66,18,4,,,0
68,66,18,,,,0
69,68,31,7.1,,,0
70,6,9,,,,0
71,70,55,10.2,,,0
72,65,5.5,4.6,,,0
73,3,17.5,150.5,,,0
74,73,38,72.3,,,0
75,73,32,53.1,,,0
76,75,29.5,6.6,,,0
77,86,11,41.2,,,0
78,77,44.5,5,,,0
79,77,73.5,9.5,,,0
80,77,17,38.4,,,0
81,80,38,7.1,,,0
82,80,19,29.9,,,0
83,82,62,17.5,,,0
84,83,50,8.5,,,0
85,83,30.5,6.7,,,0
86,75,54,40.2,,,0
87,74,35,53.5,,,0
88,87,10.5,7,,,0
89,87,46,53.6,,,0
90,89,65,5.6,,,0
91,89,10,54.9,,,0
92,91,36,39.6,,,0
93,92,62,30,,,0
94,93,42,7.6,,,0
95,93,17.5,25.8,,,0
96,95,65,9,,,0
97,95,19,20,,,0
98,97,71,9.2,,,0
99,97,28.5,7.2,,,0
100,97,39.5,14.9,,,0
101,100,58.5,7.7,,,0
102,124,23,21.5,,,0
103,102,44,8.4,,,0
104,102,16,18,,,0
105,104,31.5,6,,,0
106,104,29,16.1,,,0
107,106,34,5.3,,,0
108,106,54.5,10,,,0
109,124,9,48.4,,,0
110,109,31,8.3,,,0
111,109,12,48.2,,,0
112,111,5,9.2,,,0
113,111,45,46.4,,,0
114,113,33,25.6,,,0
115,114,81,9.8,,,0
116,114,22,4.9,,,0
117,114,39,6.3,,,0
118,114,19.5,22.8,,,0
119,118,11,12.4,,,0
120,118,8.5,18,,,0
121,120,6.5,16.3,,,0
122,121,11.5,10,,,0
123,120,28.5,6.5,,,0
124,5,48,58,,,0
125,118,77,10.2,,,0
126,118,88,5.9,,,0
127,113,10.5,32.6,,,0
128,127,107,11.4,,,0
129,127,10,27.3,,,0
130,129,65,8,,,0
131,129,88,12.7,,,0
132,139,6.5,19.4,,,0
133,132,61,12.6,,,0
134,133,84,11.7,,,0
135,139,33,6.4,,,0
136,139,4.5,16.9,,,0
137,136,75,8.1,,,0
138,136,87,10,,,0
139,129,21.5,25.5,,,0
140,42,38,65.1,,,0
141,140,38,8.4,,,0
142,140,51,59.4,,,0
143,142,104,13.7,,,0
144,142,170,17.8,,,0
145,142,31.5,53.1,,,0
146,6,43,27.7,,,0
147,6,35,91,,,0
148,147,37,30.3,,,0
149,157,38.5,8.5,,,0
150,158,23.5,13.8,,,0
151,148,67,6.4,,,0
152,148,24,26.1,,,0
153,152,31,5.1,,,0
154,152,15,24.3,,,0
155,163,89.5,9.5,,,0
156,163,52,6.6,,,0
157,163,36.5,18.3,,,0
158,157,8,15.5,,,0
159,158,13.5,6,,,0
160,150,54,6.7,,,0
161,150,31,9.7,,,0
162,154,41,6.2,,,0
163,154,12,23.5,,,0
164,145,77,11.9,,,0
165,145,11,53.9,,,0
166,165,65,10.4,,,0
167,165,68,32.5,,,0
168,165,73,35.8,,,0
169,168,64,9.6,,,0
170,168,21,36.5,,,0
171,170,65.5,11.7,,,0
172,170,63.5,10.8,,,0
173,170,86,8.3,,,0
174,170,44.5,8.2,,,0
175,170,66,10.3,,,0
176,170,27.5,21.8,,,0
177,176,67,12.3,,,0
178,176,66,10.3,,,0
179,167,70,11.1,,,0
180,167,130,9,,,0
181,167,126.5,9,,,0
182,167,45.5,22,,,0
183,182,42,10.7,,,0
184,182,81.5,11.5,,,0
185,182,67,7.5,,,0
186,73,88,98,,,0
187,186,29,32,,,0
188,187,171,16.6,,,0
189,186,51,92.8,,,0
190,189,60,56.4,,,0
191,190,29,32.3,,,0
192,191,95.5,12.1,,,0
193,191,29,25.4,,,0
194,193,49,7.9,,,0
195,193,12.5,22.8,,,0
196,195,51,10,,,0
197,195,141.5,13.6,,,0
198,190,19,51.7,,,0
199,198,87,11.3,,,0
200,198,18.5,46.8,,,0
201,200,39,41,,,0
202,201,102,9.4,,,0
203,201,40,31,,,0
204,203,75,11.3,,,0
205,203,31.5,24,,,0
206,205,56,8.8,,,0
207,205,86.5,8,,,0
208,205,56,6.4,,,0
209,205,117,1.2,,,0
210,189,19.5,84.5,,,0
211,210,70,44.3,,,0
212,211,95,16,,,0
213,211,39,39.3,,,0
214,213,118,12.2,,,0
215,213,25,28.8,,,0
216,215,41,8.7,,,0
217,215,39,23.5,,,0
218,210,26,49.4,,,0
219,218,82,12.3,,,0
220,218,46,30.5,,,0
221,220,123,14.6,,,0
222,220,52,24.8,,,0
223,189,55,39.3,,,0
224,223,67.5,25.9,,,0
225,223,37,28.2,,,0
226,225,82.5,12.9,,,0
227,225,37,22.8,,,0
228,240,76.5,46.9,,,0
229,228,95,11.8,,,0
230,228,60,34.7,,,0
231,230,34,19.3,,,0
232,230,39,23.7,,,0
