"","species","tree","length_ratio","diameter_ratio","mass_ratio"
"1",NA,NA,NA,NA,NA
"2",1,1,0.238,0.486,0.041
"3",1,1,0.895,0.294,0.104
"4",1,1,1.053,0.902,0.978
"5",1,1,2.882,0.867,2.066
"6",1,1,0.45,1.043,0.418
"7",1,1,4.333,0.5,1.397
"8",1,1,2.222,0.833,1.802
"9",1,1,0.75,0.65,0.329
"10",1,1,0.65,0.4,0.104
"11",1,1,3.25,0.7,1.719
"12",1,1,0.554,0.5,0.134
"13",1,1,0.554,0.75,0.284
"14",1,1,1,0.343,0.089
"15",1,1,0.3,0.39,0.034
"16",1,1,0.792,0.366,0.119
"17",1,1,2.917,0.878,2.345
"18",1,1,0.214,0.833,0.12
"19",1,1,1.833,0.367,0.416
"20",1,1,4.1,0.6,2.051
"21",1,1,0.631,0.343,0.059
"22",1,1,0.257,0.583,0.087
"23",1,1,0.337,1.028,0.361
"24",1,1,1.412,0.541,0.4
"25",1,1,8.118,0.595,2.313
"26",1,1,0.338,0.733,0.146
"27",1,1,1.296,0.416,0.199
"28",1,1,0.943,0.688,0.556
"29",1,1,1.879,0.5,0.7
"30",1,1,5.296,0.26,0.387
"31",1,1,2.444,0.273,1.444
"32",1,1,1.114,0.852,0.258
"33",1,1,1.021,0.843,0.084
"34",1,1,1.629,0.762,0.119
"35",1,1,0.621,2.324,0.338
"36",1,1,2.098,0.412,0.36
"37",1,1,0.854,0.891,0.712
"38",1,1,1.886,1.407,0.49
"39",1,1,0.697,0.237,0.31
"40",1,1,0.914,0.823,0.65
"41",1,1,1.594,0.397,0.291
"42",1,1,0.312,0.908,0.253
"43",1,1,5,0.563,1.496
"44",1,1,3,0.88,2.587
"45",1,1,0.733,0.458,0.189
"46",1,1,2.133,0.58,0.819
"47",NA,NA,NA,NA,NA
"48",1,2,0.366,0.374,0.039
"49",1,2,0.746,0.298,0.052
"50",1,2,1.535,0.402,0.159
"51",1,2,0.169,0.962,0.122
"52",1,2,3.583,0.561,1.088
"53",1,2,0.14,0.607,0.068
"54",1,2,2.07,0.541,0.839
"55",1,2,4.5,0.665,1.935
"56",1,2,2.426,0.616,0.731
"57",1,2,1.685,0.634,0.527
"58",NA,NA,NA,NA,NA
"59",1,3,1.514,0.352,0.158
"60",1,3,1.189,0.302,0.091
"61",1,3,1.459,0.368,0.216
"62",1,3,0.284,0.687,0.145
"63",1,3,5.19,0.417,0.925
"64",1,3,1.024,0.922,0.718
"65",1,3,3.279,0.355,0.59
"66",1,3,1.023,0.853,0.914
"67",1,3,4.409,0.312,0.584
"68",1,3,2.682,0.889,1.67
"69",1,3,0.22,0.74,0.154
"70",1,3,3.923,0.535,1.454
"71",NA,NA,NA,NA,NA
"72",1,4,0.556,0.433,0.099
"73",1,4,0.9,0.328,0.116
"74",1,4,3.3,0.544,1.034
"75",1,4,2.383,0.275,0.128
"76",1,4,1.256,0.479,0.183
"77",1,4,0.451,0.668,0.206
"78",1,4,0.722,0.356,0.087
"79",1,4,2.092,0.518,0.64
"80",1,4,0.767,0.333,0.076
"81",1,4,0.42,0.806,0.233
"82",1,4,2.534,0.6,1.176
"83",1,4,0.689,0.684,0.264
"84",1,4,0.5,0.289,0.048
"85",1,4,1.565,0.214,0.088
"86",1,4,0.798,0.263,0.056
"87",1,4,0.581,0.867,0.426
"88",1,4,2.528,0.327,0.251
"89",1,4,0.222,0.94,0.193
"90",1,4,12,0.351,1.076
"91",1,4,7.938,0.891,6.012
"92",1,4,1.969,0.293,0.233
"93",1,4,0.126,0.83,0.101
"94",1,4,13.875,0.327,1.655
"95",1,4,1.75,0.927,1.502
"96",1,4,5.571,0.512,1.829
"97",NA,NA,NA,NA,NA
"98",1,5,1.8,0.347,0.202
"99",1,5,1.141,0.526,0.206
"100",1,5,0.351,0.595,0.128
"101",1,5,0.729,0.424,0.111
"102",1,5,1.234,0.581,0.459
"103",1,5,1.824,0.415,0.251
"104",1,5,0.524,0.585,0.149
"105",1,5,1.303,0.332,0.147
"106",1,5,0.831,0.936,0.703
"107",1,5,3.541,0.357,0.478
"108",1,5,1.622,0.389,0.272
"109",1,5,2.432,0.458,0.753
"110",1,5,0.77,0.733,0.37
"111",1,5,2.895,0.331,0.558
"112",1,5,0.877,0.938,0.831
"113",1,5,5.28,0.712,2.431
"114",NA,NA,NA,NA,NA
"115",1,6,1.135,0.464,0.219
"116",1,6,2.153,0.361,0.231
"117",1,6,1.941,0.303,0.19
"118",1,6,0.988,0.42,0.132
"119",1,6,1.088,0.596,0.38
"120",1,6,0.854,0.412,0.108
"121",1,6,0.324,0.935,0.227
"122",1,6,1.15,0.285,0.132
"123",1,6,3.567,0.407,0.703
"124",1,6,2.033,0.832,1.348
"125",1,6,1,0.4,0.219
"126",1,6,0.803,0.403,0.188
"127",1,6,1.738,0.468,0.459
"128",NA,NA,NA,NA,NA
"129",1,7,1.32,0.469,0.222
"130",1,7,0.184,0.836,0.102
"131",1,7,6.174,0.413,1.15
"132",1,7,0.652,1.024,0.585
"133",1,7,9.6,0.501,2.258
"134",1,7,12.4,0.749,5.757
"135",1,7,0.188,2.153,0.254
"136",NA,NA,NA,NA,NA
"137",1,8,1.857,0.406,0.262
"138",1,8,0.221,1.022,0.144
"139",1,8,10.194,0.41,1.858
"140",1,8,12.774,0.257,1.53
"141",1,8,14.516,0.325,2.4
"142",1,8,3.129,0.627,1.812
"143",1,8,2.454,0.459,0.457
"144",1,8,0.887,0.884,0.679
"145",1,8,2.93,0.447,0.726
"146",1,8,2.233,0.727,1.056
"147",NA,NA,NA,NA,NA
"148",1,9,0.916,0.395,0.118
"149",1,9,1.908,0.567,0.463
"150",1,9,1.289,0.402,0.196
"151",1,9,1.407,0.679,0.446
"152",1,9,0.855,0.306,0.066
"153",1,9,0.229,0.718,0.108
"154",1,9,2.263,0.37,0.279
"155",1,9,0.632,0.956,0.613
"156",1,9,13.458,0.261,0.844
"157",1,9,6,0.911,3.912
"158",1,9,1.5,0.356,0.221
"159",1,9,0.396,0.865,0.324
"160",1,9,4.561,0.311,0.444
"161",1,9,3.684,0.385,0.529
"162",1,9,1.86,0.729,0.985
"163",1,9,3.047,0.56,1.198
"164",NA,NA,NA,NA,NA
"165",1,10,1.663,0.339,0.156
"166",1,10,2.174,0.306,0.183
"167",1,10,2.43,0.442,0.415
"168",1,10,0.988,0.496,0.205
"169",1,10,0.453,0.59,0.221
"170",1,10,0.779,0.595,0.291
"171",1,10,2.448,0.287,0.226
"172",1,10,1.955,0.272,0.223
"173",1,10,0.373,0.823,0.27
"174",1,10,0.567,0.34,0.165
"175",1,10,1.12,0.931,0.901
"176",1,10,3.464,0.278,0.36
"177",1,10,4.607,0.809,1.984
"178",NA,NA,NA,NA,NA
"179",1,11,2.04,0.493,0.387
"180",1,11,1.237,0.359,0.131
"181",1,11,0.954,0.377,0.089
"182",1,11,1.827,0.326,0.144
"183",1,11,0.578,0.725,0.246
"184",1,11,2.64,0.379,0.519
"185",1,11,1.01,0.713,0.608
"186",1,11,1.762,0.414,0.269
"187",1,11,3.109,0.699,1.437
"188",1,11,0.521,0.585,0.263
"189",NA,NA,NA,NA,NA
"190",1,12,0.982,0.618,0.39
"191",1,12,1.291,0.629,0.4
"192",1,12,0.536,0.671,0.221
"193",1,12,2.7,0.496,0.557
"194",1,12,1.867,0.491,0.389
"195",1,12,4.3,0.722,1.738
"196",NA,NA,NA,NA,NA
"197",1,13,1.382,0.346,0.152
"198",1,13,1.11,0.516,0.254
"199",1,13,1.487,0.29,0.123
"200",1,13,0.763,0.302,0.091
"201",1,13,1.803,0.434,0.316
"202",1,13,0.292,0.696,0.153
"203",1,13,0.816,0.799,0.38
"204",1,13,1.952,0.268,0.151
"205",1,13,0.355,0.901,0.367
"206",1,13,2,0.407,0.397
"207",1,13,3.273,0.215,0.175
"208",1,13,1.727,0.843,1.002
"209",1,13,1.727,0.905,1.27
"210",1,13,3.579,0.373,0.479
"211",1,13,3.132,0.194,0.128
"212",1,13,1.237,0.24,0.079
"213",1,13,0.474,0.818,0.389
"214",1,13,3.167,0.354,0.351
"215",1,13,2.167,1.04,1.896
"216",1,13,2.256,0.363,0.297
"217",1,13,0.538,0.874,0.51
"218",1,13,0.81,0.44,0.149
"219",1,13,3.619,0.308,0.289
"220",1,13,3.571,0.46,0.632
"221",1,13,1.905,0.803,1.258
"222",1,13,2.525,0.732,1.088
"223",NA,NA,NA,NA,NA
"224",1,14,0.726,0.424,0.163
"225",1,14,0.142,0.455,0.034
"226",1,14,1.151,0.879,0.858
"227",1,14,2.18,0.447,0.341
"228",1,14,0.525,1.01,0.385
"229",1,14,2.312,0.768,1.37
"230",1,14,1.219,0.445,0.236
"231",1,14,0.567,0.258,0.038
"232",1,14,0.556,0.845,0.446
"233",1,14,2.04,0.331,0.215
"234",1,14,1.818,0.81,1.007
"235",1,14,0.983,0.647,0.401
"236",1,14,0.767,0.336,0.081
"237",1,14,1.089,0.375,0.195
"238",1,14,0.643,1.069,0.61
"239",1,14,4.306,0.558,1.602
"240",1,14,1.781,0.358,0.192
"241",1,14,0.792,0.539,0.317
"242",1,14,0.863,0.817,0.539
"243",1,14,2.063,0.187,0.08
"244",1,14,0.619,1.013,0.577
"245",1,14,4.718,0.294,0.397
"246",1,14,5.128,0.307,0.511
"247",1,14,4.487,0.302,0.426
"248",1,14,1.41,0.863,1.051
"249",1,14,2.091,0.189,0.169
"250",1,14,0.227,0.935,0.204
"251",1,14,10.96,0.18,1.871
"252",1,14,1.44,0.923,1.274
"253",1,14,5.556,0.288,0.558
"254",1,14,0.833,0.958,0.725
"255",1,14,7.333,0.291,0.78
"256",1,14,2.6,0.896,2.143
"257",1,14,2.526,0.294,0.354
"258",1,14,0.59,0.874,0.521
"259",1,14,2.696,0.487,0.68
"260",NA,NA,NA,NA,NA
"261",1,15,0.506,0.45,0.104
"262",1,15,2.465,0.449,0.429
"263",1,15,3.372,0.671,1.829
"264",1,15,1.302,0.514,0.317
"265",1,15,0.424,0.485,0.118
"266",1,15,1.611,0.472,0.306
"267",1,15,0.889,0.888,0.621
"268",1,15,4.016,0.732,1.864
"269",1,15,0.463,0.462,0.172
"270",1,15,1.612,0.346,0.199
"271",1,15,1.8,0.334,0.214
"272",1,15,0.346,0.481,0.063
"273",1,15,0.595,0.454,0.127
"274",1,15,1.035,0.71,0.54
"275",1,15,1.068,0.243,0.06
"276",1,15,0.455,0.856,0.309
"277",1,15,2.138,0.359,0.293
"278",1,15,3.35,0.403,0.573
"279",1,15,0.75,0.894,0.515
